"Protein IDs","Gene names","LFQ intensity KO_MITOS_22","LFQ intensity KO_MITOS_23","LFQ intensity KO_MITOS_24","LFQ intensity KO_TOTALS_22","LFQ intensity KO_TOTALS_23","LFQ intensity KO_TOTALS_24","LFQ intensity WT_MITOS_22","LFQ intensity WT_MITOS_23","LFQ intensity WT_MITOS_24","LFQ intensity WT_TOTALS_22","LFQ intensity WT_TOTALS_23","LFQ intensity WT_TOTALS_24"
"A0A024RBG1;Q9NZJ9;Q9NZJ9-2;Q9NZJ9-3;Q96G61;Q8NFP7","NUDT4;NUDT11;NUDT10",0,0,0,0,0,0,0,3727500,0,0,0,0
"A0A2R8Y619",NA,0,0,0,0,0,0,0,0,0,0,0,0
"A0A3B3IRV3",NA,0,0,0,0,0,0,0,0,0,0,0,0
"A0A3B3IU46",NA,0,0,0,0,0,0,0,0,0,0,0,0
"A0AV96-2;A0AV96","RBM47",0,0,0,0,0,9612400,0,0,0,0,4200700,0
"A0AVT1;A0AVT1-2;A0AVT1-3;A0AVT1-4","UBA6",3463400,2508000,8255500,15449000,12562000,89386000,5036000,3523000,4089200,19402000,10230000,9406400
"A0FGR8-6;A0FGR8-2;A0FGR8;A0FGR8-4;A0FGR8-5","ESYT2",48394000,47937000,44841000,41069000,44974000,28702000,41744000,61904000,72851000,30054000,65989000,41670000
"A0JLT2-2;A0JLT2","MED19",0,0,0,0,0,20040000,0,0,0,0,0,0
"A0MZ66-5;A0MZ66-6;A0MZ66;A0MZ66-3;A0MZ66-8;A0MZ66-4;A0MZ66-2;A0MZ66-7","KIAA1598",11199000,6208300,0,9994100,4514800,34936000,0,8982700,5439900,23767000,6596400,9533000
"A0PJW6","TMEM223",0,0,0,0,0,0,0,0,0,0,0,0
"A1L0T0","ILVBL",134880000,112030000,103110000,84381000,129490000,79729000,148220000,151510000,189950000,59942000,166330000,95959000
"A1L390","PLEKHG3",0,0,0,0,0,0,0,0,0,0,0,0
"A1XBS5-2;A1XBS5-4;A1XBS5-3;A1XBS5;A1XBS5-5","FAM92A1",9060100,11679000,6328700,0,4013400,0,6309500,16572000,14714000,0,0,2225800
"A2RRP1;A2RRP1-2","NBAS",16280000,24713000,18781000,17367000,19634000,16250000,14554000,10902000,15460000,6661200,18059000,11537000
"A2RTX5-2;A2RTX5","TARSL2",0,0,0,0,0,5272800,0,0,0,0,0,0
"A2RU67","KIAA1467",7232700,0,0,0,0,0,14901000,10716000,14526000,0,0,0
"A3KMH1;A3KMH1-3;A3KMH1-2","VWA8",121590000,73663000,104040000,19424000,23342000,11402000,98643000,74142000,78366000,11787000,19185000,16084000
"A3KN83-3;A3KN83-2;A3KN83;A3KN83-4","SBNO1",0,0,0,0,0,14817000,0,0,0,0,0,0
"A4D1E9;A4D1E9-2;A4D1E9-3","GTPBP10",170640000,124770000,154010000,62636000,62238000,17884000,150070000,126480000,128910000,54412000,64501000,69678000
"A4D1S0-2;A4D1S0","KLRG2",0,0,0,0,0,0,0,0,0,0,0,0
"A5D8V6","VPS37C",0,0,0,0,0,29896000,0,0,0,0,0,0
"A5PLL7-2;A5PLL7","TMEM189",0,0,0,0,0,0,0,0,0,0,0,0
"A5PLN9-2;A5PLN9-4;A5PLN9;A5PLN9-5","TRAPPC13",0,0,0,0,0,0,0,0,0,0,0,0
"A5YKK6-2;A5YKK6;A5YKK6-3;A5YKK6-4","CNOT1",9674300,15061000,15977000,14565000,13111000,35330000,5848500,17791000,17397000,20392000,13395000,10400000
"Q9GZQ8;A6NCE7","MAP1LC3B;MAP1LC3B2",12329000,13732000,14138000,19863000,9968700,23297000,40063000,26071000,24582000,20839000,18760000,16006000
"A6NDG6","PGP",0,0,0,13810000,8143400,53508000,0,0,0,27385000,8580500,12791000
"A6NDU8","C5orf51",0,0,0,8304800,0,0,0,0,0,13806000,0,8062900
"A6NED2","RCCD1",0,0,0,0,0,53180000,0,0,0,0,0,0
"A6NFI3","ZNF316",0,0,0,0,0,125880000,0,0,0,0,19840000,15813000
"A6NFY7","SDHAF1",19798000,8201200,19300000,5675100,4671200,0,45879000,19431000,13506000,0,9952300,0
"P36268-2;A6NGU5;P36268;P19440;P36268-3;P19440-2;Q14390;P19440-3;B5MD39","GGT2;GGT3P;GGT1",0,0,0,0,0,0,0,18253000,23194000,4683100,7486700,7222600
"A6NHL2-2;A6NHL2","TUBAL3",0,0,0,0,0,0,0,0,0,0,0,0
"A6NHQ2","FBLL1",0,0,0,0,0,0,0,0,0,0,0,0
"A6NHR9;A6NHR9-2;A6NHR9-3","SMCHD1",960390,33585000,9588100,33841000,31584000,78007000,4137300,28203000,9841700,52297000,49605000,38565000
"A6NIH7","UNC119B",0,5507400,0,4855400,5429100,8573700,0,0,0,7301900,5935400,0
"Q8TF27;A6NIR3;Q9UPQ3-2;Q9UPQ3","AGAP11;AGAP5;AGAP1",0,0,0,0,0,0,0,0,0,0,0,0
"A6NJ78;A6NJ78-2;A6NJ78-4;P0C7V9;A6NJ78-3","METTL15",131040000,83447000,129030000,28520000,38122000,28186000,76476000,48180000,58427000,2816100,13274000,4486300
"A6NK58","LIPT2",71265000,27844000,36665000,0,0,0,21986000,18022000,17279000,0,0,0
"A6NKF1;A6NKF1-2","SAC3D1",0,0,0,0,0,0,0,0,0,0,0,0
"A6NKT7;Q99666-2;Q7Z3J3-2","RGPD3",0,0,0,0,0,0,0,0,0,0,0,0
"A6NNL5","C15orf61",0,11248000,0,0,0,0,0,0,0,0,0,0
"A6ZKI3","FAM127A",0,0,0,0,0,0,0,0,0,0,0,0
"A7E2V4-5;A7E2V4;A7E2V4-3;A7E2V4-4;A7E2V4-2","ZSWIM8",0,0,0,0,0,20821000,0,0,0,0,4991300,0
"A8CG34;A8CG34-2;A6NF01;Q6PJE2-5;Q6PJE2","POM121C",0,3970000,0,20260000,17064000,0,0,0,0,8368300,58424000,25512000
"A8K8P3-5;A8K8P3-10;A8K8P3-3;A8K8P3-9;A8K8P3-2;A8K8P3;A8K8P3-4","SFI1",0,0,0,0,0,0,0,0,0,0,0,0
"A8MT69;A8MT69-3;A8MT69-2","STRA13",0,0,0,0,0,27836000,0,0,0,30691000,0,46551000
"A8MTT3","CEBPZOS",0,0,0,0,0,0,0,0,0,0,0,0
"A8MVW0","FAM171A2",1457500000,0,0,0,0,470400000,0,231620000,314190000,0,0,0
"A8MXV4","NUDT19",99215000,92166000,115320000,51844000,64081000,38213000,251120000,189160000,185870000,90845000,116970000,93270000
"B7ZAQ6-2;B7ZAQ6-3;P0CG08;B7ZAQ6","GPR89A;GPR89B",0,0,0,13905000,0,0,0,0,0,0,24545000,11812000
"C9JLW8","FAM195B",0,7262900,7678700,9453800,6898900,45336000,6735800,11506000,12280000,12476000,7613700,9972500
"Q13765;E9PAV3-2;E9PAV3;Q9BZK3","NACA",70324000,85803000,106030000,180770000,155890000,638190000,63451000,114890000,128980000,307750000,158700000,184660000
"E9PRG8","C11orf98",0,0,5775100,13772000,16534000,17815000,0,0,7578500,28943000,16278000,17279000
"L0R6Q1","SLC35A4",356030000,207010000,252380000,116280000,152400000,74269000,350480000,236510000,229120000,149270000,104640000,129450000
"L0R819","ASNSD1",0,0,0,0,0,0,0,0,0,0,0,0
"L0R8F8","SMCR7L",92514000,96288000,129510000,29091000,51124000,12606000,83544000,64100000,65260000,26527000,18153000,24292000
"O00115-2;O00115","DNASE2",137380000,74776000,114500000,32541000,21215000,47226000,114630000,153280000,110660000,40870000,20704000,37222000
"O00116","AGPS",316280000,202070000,262960000,139100000,171060000,87584000,351830000,294150000,385620000,141830000,236170000,170450000
"O00124-3;O00124;O00124-2","UBXN8",0,0,0,0,0,0,0,0,0,0,0,0
"O00139-2;O00139-1;O00139-5;O00139;O00139-4","KIF2A",10007000,25721000,15844000,30190000,23988000,52011000,9669900,13655000,8747500,24555000,21028000,22468000
"O00142-5;O00142-2;O00142-3;O00142-4;O00142;O00142-6","TK2",0,0,0,0,0,0,0,0,0,0,0,0
"O00148;O00148-2;O00148-3","DDX39A",3555500,19629000,6364400,47988000,40348000,61242000,2587700,16928000,9569800,120320000,92650000,144230000
"O00151","PDLIM1",53421000,62014000,42421000,95005000,84358000,188260000,31815000,47369000,38287000,72566000,35007000,27997000
"O00154-4;O00154-6;O00154-7;O00154;O00154-2;O00154-3","ACOT7",14606000,26310000,20395000,45954000,31873000,137890000,19580000,18650000,19720000,139100000,50807000,59139000
"O00159-3;O00159","MYO1C",0,0,0,0,0,0,0,0,0,0,0,0
"O00159-2","MYO1C",606770000,658320000,528130000,322630000,360080000,195150000,274690000,502360000,474830000,227830000,210610000,183420000
"O00161;O00161-2","SNAP23",41581000,53654000,45717000,28507000,36856000,3477100,77262000,90493000,94463000,50938000,45689000,52336000
"O00165;O00165-2;O00165-5;O00165-3;O00165-4;O00165-6","HAX1",93715000,68044000,81011000,56596000,62792000,16898000,156710000,99827000,113990000,102200000,65941000,88918000
"O00170","AIP",2338400,6774200,4524300,30786000,12763000,109260000,5590400,4807400,6499900,29577000,14004000,12064000
"O00178","GTPBP1",3125900,7698900,6717100,20486000,21640000,57774000,5366300,9935600,7846900,20335000,19297000,10864000
"O00186","STXBP3",31515000,40100000,32011000,16437000,24933000,19716000,30627000,56517000,48679000,18661000,19593000,15712000
"O00192-2;O00192","ARVCF",36567000,42230000,33542000,16307000,22906000,14622000,12413000,50472000,32135000,14688000,7986000,11410000
"O00193","SMAP",0,0,0,25773000,11953000,52123000,0,0,0,32673000,9238100,12106000
"O00203-3;O00203;Q13367;Q13367-4;Q13367-3","AP3B1",440490000,401620000,391050000,521240000,465310000,1355700000,322260000,292270000,470430000,658130000,419680000,380040000
"O00213-4;O00213-6;O00213-3;O00213-5;O00213-2;O00213","APBB1",0,0,0,3251900,0,26254000,0,0,0,0,0,0
"O00214;O00214-2","LGALS8",9563300,14083000,10078000,6106100,8345100,6538200,24574000,26829000,16409000,9153000,15713000,8385500
"O00217","NDUFS8",559900000,344730000,455550000,185800000,282260000,91671000,553120000,428210000,377710000,226390000,140450000,197940000
"O00220","TNFRSF10A",0,13653000,12746000,13851000,0,0,16580000,33572000,34704000,18390000,25410000,18367000
"O00231;O00231-2","PSMD11",57130000,100670000,88135000,260650000,222950000,757340000,56210000,88886000,107660000,395310000,221740000,211850000
"O00232;O00232-2","PSMD12",3561400,14705000,8699700,37275000,31238000,77868000,2743800,7671300,11806000,44495000,24163000,19349000
"O00233;O00233-2;O00233-3","PSMD9",0,0,0,10577000,0,7767600,0,0,0,27728000,0,16484000
"O00244","ATOX1",0,0,11843000,0,37175000,273830000,0,19718000,0,24505000,28346000,24398000
"O00255-3;O00255-2;O00255","MEN1",0,0,0,17059000,13838000,13645000,0,0,0,12193000,22322000,17162000
"O00258-2;O00258","WRB",0,0,0,0,0,0,0,0,0,0,0,0
"O00264;O00264-2","PGRMC1",208980000,172720000,206170000,120510000,181210000,173400000,279210000,267860000,298580000,181120000,228500000,193730000
"O00267-2;O00267","SUPT5H",2630900,7566700,8772700,77029000,57818000,67624000,2647300,3367500,1810400,67513000,117830000,87683000
"O00273;O00273-2","DFFA",0,0,0,23624000,14635000,87499000,0,0,0,22208000,9002100,10148000
"O00291;O00291-4;O00291-3","HIP1",41319000,57696000,36261000,12605000,21721000,14637000,23432000,86635000,70180000,8613100,16029000,10415000
"O00299","CLIC1",28127000,34169000,38738000,188940000,140000000,320690000,41282000,42763000,45698000,275510000,111450000,184870000
"O00303","EIF3F",54972000,64809000,61311000,166080000,127680000,333880000,35867000,66445000,66299000,240150000,88060000,128150000
"O00308-3;O00308-2;O00308","WWP2",0,0,0,0,0,0,0,0,0,0,0,0
"O00330;O00330-3;O00330-2","PDHX",197260000,110220000,163550000,95518000,82216000,34925000,143250000,85024000,94721000,78731000,57851000,78235000
"O00399","DCTN6",0,0,0,0,0,0,0,0,0,0,0,0
"O00400","SLC33A1",0,0,0,30547000,0,0,0,0,0,0,0,0
"O00401","WASL",9179100,10205000,6116000,9506300,9157900,21106000,6023000,0,15932000,14858000,5991800,7884800
"O00410;O00410-3;O00410-2","IPO5",72845000,86134000,83841000,134800000,130300000,203520000,73242000,69235000,78625000,213480000,117950000,153340000
"O00411","POLRMT",560890000,454070000,536070000,158650000,256610000,155160000,426010000,322440000,337410000,96071000,170750000,106960000
"O00422-2;O00422","SAP18",0,16574000,15722000,165680000,174640000,103740000,0,23933000,0,118260000,272410000,174100000
"O00425;O00425-2","IGF2BP3",24930000,42907000,39003000,70743000,73167000,82828000,20292000,49326000,63035000,80372000,138320000,113890000
"O00429-3;O00429;O00429-5;O00429-2;O00429-6;O00429-8;O00429-7","DNM1L",8374600,47201000,29052000,23731000,22631000,71129000,23070000,54392000,40052000,57474000,26349000,34142000
"O00429-4;O00429-9","DNM1L",0,0,0,0,0,0,0,0,0,0,0,0
"O00442;O00442-2","RTCA",5156400,12291000,8721700,13552000,20856000,80761000,6275500,10638000,8833800,21803000,16988000,14317000
"O00443-2;O00443","PIK3C2A",0,10103000,0,0,0,27690000,0,11553000,10124000,0,0,0
"O00459","PIK3R2",0,0,0,0,0,6527100,0,8621400,0,5352600,0,0
"O00461","GOLIM4",66999000,67434000,65309000,57304000,55534000,43986000,18681000,23865000,33169000,27192000,32399000,24764000
"O00468-6;O00468-7;O00468-3;O00468-5;O00468-4;O00468;O00468-2","AGRN",56203000,43446000,64658000,16187000,25705000,7838200,35273000,21446000,32194000,9338100,5256100,8326000
"O00469-2;O00469;O00469-3","PLOD2",280240000,167550000,230980000,103380000,101280000,107040000,60578000,75532000,96766000,31919000,41342000,34911000
"O00470-2;O00470;O14770-6","MEIS1;MEIS2",0,0,0,0,0,0,0,0,0,0,0,0
"O00471","EXOC5",39502000,65505000,46857000,13468000,7119300,38428000,25451000,62754000,54021000,11998000,4997700,5413900
"O00479","HMGN4",0,0,0,0,1023800,0,0,0,0,1652600,0,82674000
"O00483","NDUFA4",519640000,438320000,468620000,191610000,334760000,130220000,519830000,347470000,359700000,105220000,218340000,124840000
"O00487","PSMD14",10526000,15806000,12249000,62713000,44633000,223370000,12336000,15499000,16910000,79304000,35755000,38683000
"O00488","ZNF593",0,0,0,0,0,0,0,0,0,0,0,0
"O00505","KPNA3",0,9276300,0,86659000,45186000,78421000,12279000,0,20220000,96828000,69829000,51149000
"O00522-3;O00522","KRIT1",0,0,0,0,0,0,0,0,0,0,0,0
"O00541;O00541-2","PES1",0,9426500,8637000,81784000,83831000,88452000,0,4554300,6092000,46156000,197090000,138570000
"O00560;O00560-3","SDCBP",100960000,84589000,90887000,77837000,53085000,65932000,148650000,147770000,156430000,110830000,100660000,88665000
"O00560-2","SDCBP",11788000,10342000,11974000,8708200,8713800,0,19700000,12929000,13657000,22407000,10839000,7855000
"O00566","MPHOSPH10",0,5750800,6420100,46281000,31933000,27636000,0,2821500,2276700,34462000,123590000,76225000
"O00567","NOP56",2569300,42533000,24122000,211490000,222870000,164480000,3929500,20691000,12084000,92726000,425300000,245850000
"O00571;O00571-2;O15523-2;O15523;O15523-3;Q9NQI0-3;Q9NQI0-2;Q9NQI0-4;Q9NQI0","DDX3X;DDX3Y",114450000,209040000,187050000,235350000,250560000,424100000,116680000,201690000,203520000,264700000,389930000,338150000
"O00584;O00584-2","RNASET2",196540000,70646000,116120000,31248000,16145000,78777000,100340000,109520000,104530000,31437000,10130000,19887000
"O00592-2;O00592","PODXL",0,0,0,0,0,0,0,0,20793000,33993000,50843000,0
"O00623","PEX12",0,0,0,0,0,0,42957000,0,0,0,0,0
"O00625","PIR",0,0,0,2458600,0,13730000,0,0,0,0,0,0
"O00629","KPNA4",0,17806000,16810000,52270000,51111000,85261000,9337200,0,0,36371000,39762000,31432000
"O00634","NTN3",0,0,0,0,0,0,0,0,7568000,0,0,0
"O00712-2;O00712;O00712-5;O00712-4","NFIB",0,0,0,0,0,0,0,0,0,0,0,0
"O00716-2;O00716","E2F3",0,0,0,0,0,0,0,0,0,0,0,0
"O00743;O00743-2;O00743-3","PPP6C",7639700,12052000,14162000,90592000,38927000,155600000,26139000,17423000,11302000,113450000,24865000,21229000
"O00746;O00746-2","NME4",92803000,63948000,100550000,29812000,34699000,7406700,80902000,46130000,55404000,14014000,19684000,19682000
"O00754-2;O00754","MAN2B1",177850000,119430000,132010000,72491000,54350000,67744000,105260000,135110000,112160000,62561000,34339000,35101000
"O00762;O00762-2;O00762-4;O00762-3","UBE2C",0,0,0,20414000,10432000,91199000,0,0,0,11178000,0,15335000
"O00763-3;O00763-2;O00763","ACACB",0,0,0,0,0,0,0,0,0,0,0,0
"O00764;O00764-3;O00764-2","PDXK",0,0,0,15523000,9485700,94292000,0,0,0,20538000,5338200,8790900
"O00767","SCD",34668000,27136000,21026000,28093000,29000000,0,17215000,36180000,38074000,18746000,44132000,36616000
"O14497;O14497-2;O14497-3","ARID1A",0,19108000,4369000,13918000,10584000,32945000,0,3418400,0,10426000,7904300,8080000
"O14519-2;O14519","CDK2AP1",0,15775000,0,0,0,0,0,9256800,0,0,0,0
"O14521-2;O14521;O14521-4","SDHD",23996000,7676100,9789800,21152000,3446300,0,5016900,4746700,0,7732300,17394000,16876000
"O14523;O14523-2","C2CD2L",0,7415300,5826100,0,14941000,0,10781000,17654000,10121000,0,0,0
"O14524-2;O14524","TMEM194A",0,18608000,9852400,18913000,11876000,8115700,0,7393100,11854000,6912000,42410000,17503000
"O14530-2;O14530","TXNDC9",0,0,0,12880000,11061000,6227400,0,0,6763400,14188000,0,0
"O14545","TRAFD1",0,0,0,0,0,0,0,0,8585600,14024000,9773400,0
"O14548","COX7A2L",55988000,50022000,71123000,25348000,46486000,0,180090000,110150000,115500000,46655000,105060000,83872000
"O14561","NDUFAB1",60260000,53594000,53169000,61782000,51596000,24182000,72669000,37489000,40290000,77693000,49771000,48833000
"O14562","UBFD1",0,0,0,0,0,0,0,0,0,0,0,0
"O14569","CYB561D2",14557000,13165000,13084000,16750000,16517000,0,0,0,0,0,14743000,0
"O14576-4;O14576-3;O14576-5;O14576-2;O14576","DYNC1I1",0,0,0,0,0,0,0,0,0,0,0,0
"O14578-4;O14578;O14578-3;O14578-2","CIT",15886000,18104000,24034000,14381000,0,0,15722000,22312000,22937000,9360300,7098900,5231500
"O14579;O14579-3;O14579-2","COPE",7848200,6482700,6745400,56704000,44144000,217640000,5235700,0,14829000,100090000,46642000,36558000
"O14617;O14617-5;O14617-4;O14617-2;O14617-3","AP3D1",14377000,6113100,12006000,20795000,18712000,61678000,15646000,14654000,24312000,32254000,23235000,19919000
"O14618","CCS",0,0,0,0,0,19073000,0,0,0,0,0,0
"O14639-3;O14639-5;O14639-2;O14639-6;O14639;O14639-4","ABLIM1",16435000,33268000,19009000,20934000,22324000,49507000,1638800,10183000,10631000,4626700,5419300,4664000
"O14641","DVL2",18506000,8378800,0,12314000,13925000,38497000,22264000,10797000,7375900,15899000,11877000,10971000
"O14646-2;O14646","CHD1",0,181210000,0,1285200000,773010000,642000000,0,0,0,303720000,915340000,1025400000
"O14647;O14647-2;O14647-3","CHD2",0,0,0,10515000,8794500,0,0,0,0,0,9127600,0
"O14653-2;O14653;O14653-3","GOSR2",30242000,27243000,19855000,25180000,29707000,0,47999000,39303000,54624000,0,35544000,30716000
"O14654","IRS4",0,29435000,0,2912400,6570200,0,227440000,431650000,378870000,203060000,283350000,193200000
"O14656;O14656-2","TOR1A",32980000,30834000,30113000,20373000,26657000,23268000,52736000,54894000,65880000,20029000,35553000,20926000
"O14657","TOR1B",37903000,28146000,36095000,8919500,9701500,0,47802000,45959000,60981000,16724000,17350000,10433000
"O14662-2;O14662-4;O14662-5;O14662;O14662-6;O14662-3","STX16",13850000,20484000,23071000,23750000,25981000,14903000,11229000,9207800,11964000,10510000,14216000,14592000
"O14672;O14672-2","ADAM10",26802000,35252000,34023000,20776000,29633000,9504500,35182000,48362000,52444000,23003000,31393000,26527000
"O14681;O14681-3","EI24",68627000,37353000,39011000,11599000,29473000,22411000,40976000,39456000,32701000,0,18312000,17788000
"O14683","TP53I11",0,0,0,0,0,0,0,0,0,0,0,0
"O14727-3;O14727-4;O14727-2;O14727;O14727-5;O14727-6","APAF1",0,23759000,0,26545000,22414000,192200000,0,0,0,22914000,43438000,0
"O14732-2;O14732","IMPA2",0,0,0,0,0,0,0,0,0,0,0,0
"O14734","ACOT8",140870000,72963000,95703000,42826000,60942000,31700000,155130000,116590000,113150000,57107000,54054000,48346000
"O14735-3;O14735;O14735-2","CDIPT",0,0,0,11848000,0,0,0,0,0,0,39710000,14710000
"O14737;O14737-2","PDCD5",25880000,32079000,24991000,148820000,110400000,738420000,69246000,68567000,78430000,354380000,134160000,162920000
"O14744;O14744-2;O14744-5;O14744-4;O14744-3","PRMT5",3138600,15645000,2155200,24639000,15277000,84165000,2831000,1842100,3837100,50447000,19465000,20905000
"O14745;O14745-2","SLC9A3R1",19742000,19586000,25685000,16961000,13791000,52891000,28394000,50937000,42791000,35022000,15080000,18346000
"O14763;O14763-2;O14763-3","TNFRSF10B",32245000,31148000,36346000,16342000,24673000,34452000,29073000,38388000,34986000,8289800,12493000,8035500
"O14770-5;O14770-7;O14770-8;O14770-3;O14770-2;O14770-4;O14770","MEIS2",0,0,0,0,0,0,0,0,0,0,0,0
"O14773;O14773-2","TPP1",572930000,340080000,431610000,156600000,152900000,234570000,173920000,197580000,148500000,30712000,20918000,21211000
"O14776;O14776-2;Q5VWI1","TCERG1",39001000,83674000,41884000,155070000,117980000,255690000,28274000,88581000,64561000,170690000,187900000,218080000
"O14777","NDC80",8046500,21528000,11918000,8793500,12261000,29459000,0,11531000,9499400,9813500,13490000,6277800
"O14786;O14786-3;O14786-2","NRP1",5549800,8895800,8188800,6179900,6098500,3810900,42268000,52990000,45910000,28922000,34357000,24587000
"O14787-2;O14787","TNPO2",0,0,0,74344000,139920000,1226500000,0,0,0,113620000,145120000,175140000
"O14802","POLR3A",0,9698600,5053500,9124000,5436600,133550000,0,3736000,4283300,16893000,7065800,8272600
"O14818;O14818-2;O14818-4;Q8TAA3-2;Q8TAA3-5;Q8TAA3","PSMA7",25673000,36112000,38609000,112640000,85462000,259840000,35007000,36270000,42409000,164600000,88901000,105040000
"O14828;O14828-2","SCAMP3",41652000,74530000,58715000,100370000,103280000,80787000,73913000,97635000,103030000,83089000,146910000,100030000
"O14832;O14832-2","PHYH",18258000,14109000,20453000,13362000,12776000,9180700,25663000,17522000,29204000,9413400,0,12144000
"O14874;O14874-3;O14874-2","BCKDK",338790000,241640000,332800000,86539000,107290000,74842000,145840000,127270000,129040000,34460000,59226000,39839000
"O14880","MGST3",470760000,384860000,423710000,430290000,561010000,145040000,439570000,269210000,301910000,217010000,311200000,201080000
"O14893-5;O14893;O14893-2;O14893-3","GEMIN2",0,0,0,4685900,4358200,37205000,0,0,4799100,5015500,4764500,2780700
"O14907","TAX1BP3",6774500,7493400,8676800,22028000,7501100,35508000,0,7470500,5956100,21334000,5081600,7942200
"O14908;O14908-2","GIPC1",35815000,57549000,32786000,36872000,25846000,51403000,41525000,51166000,54282000,40327000,34756000,20758000
"O14910","LIN7A",34053000,25772000,37703000,0,0,0,8893100,30609000,13487000,0,0,0
"O14925;Q5SRD1-2;Q5SRD1","TIMM23",529910000,305680000,355840000,221590000,269850000,124740000,677630000,479290000,547140000,216930000,253670000,269420000
"O14929;O14929-2","HAT1",3955900,6107700,6948000,83741000,57754000,222290000,3448100,6554600,21160000,104140000,52331000,57132000
"O14936;O14936-2;O14936-6","CASK",0,0,0,0,0,0,0,0,0,0,0,0
"O14936-3;O14936-4;O14936-5","CASK",49334000,64143000,52951000,24316000,30880000,26329000,55813000,105930000,85291000,35744000,33388000,32213000
"O14949","UQCRQ",35855000,26738000,41854000,34439000,42309000,13631000,127820000,49417000,58541000,44352000,97306000,39015000
"P19105;O14950;P24844;P24844-2","MYL12A;MYL12B;MYL9",296580000,299250000,315960000,301940000,206530000,408270000,257130000,551420000,442350000,208800000,160720000,132110000
"O14957","UQCR11",0,0,0,0,0,0,0,0,0,0,0,0
"O14964-2;O14964","HGS",26310000,30180000,41331000,33420000,27428000,96852000,26073000,33661000,45468000,55076000,28327000,34705000
"O14966;O14966-2;O14966-3","RAB29",0,0,0,0,0,0,0,0,0,0,0,0
"O14967;O14967-2","CLGN",0,41213000,0,24777000,28889000,16267000,0,0,0,11130000,19578000,29658000
"O14972-2;O14972","DSCR3",0,0,0,0,0,0,0,0,0,0,0,0
"O14974-4;O14974-3;O14974;O14974-5;O14974-2;O60237-4;O60237;O60237-6","PPP1R12A",8568900,27783000,20671000,33017000,21588000,68316000,15614000,40303000,30397000,42791000,32454000,31666000
"O14975-2;O14975","SLC27A2",42434000,19187000,22852000,8809100,19450000,12529000,30770000,30714000,43966000,13596000,19307000,14962000
"O14976-2;O14976","GAK",5729600,0,0,0,0,26944000,9015600,7375500,7347600,0,0,0
"O14979","HNRNPDL",9408200,161000000,69362000,767410000,668940000,619920000,14012000,77360000,36121000,319560000,1082300000,642130000
"O14979-3;O14979-2","HNRNPDL",0,20369000,6075700,92433000,112490000,52194000,0,10721000,0,40196000,150000000,90062000
"O14980","XPO1",9455200,40383000,49099000,110800000,85466000,205200000,23673000,40337000,52424000,126960000,76142000,73383000
"O14981;O14981-2","BTAF1",0,11594000,14277000,13494000,16639000,70916000,0,13027000,12591000,16410000,26006000,8353600
"O15020;O15020-2","SPTBN2",70879000,79752000,69804000,26591000,28495000,38827000,17965000,34518000,29555000,12202000,12926000,7841100
"O15027-5;O15027-2;O15027-4;O15027-3;O15027","SEC16A",0,22518000,5792700,8086500,12634000,54794000,7635400,15755000,15073000,23382000,17301000,7869900
"O15031","PLXNB2",126420000,145450000,126220000,87092000,113810000,48743000,67916000,107430000,100730000,61433000,59404000,55041000
"O15042;O15042-2;O15042-3","U2SURP",5208100,45626000,14966000,59065000,45613000,58670000,6419900,22600000,10244000,38767000,66101000,46238000
"O15047;Q9UPS6-2;Q9UPS6","SETD1A",0,0,0,0,0,15240000,0,0,0,0,0,0
"O15061;O15061-2;O15061-3","SYNM",0,0,0,0,0,0,0,0,0,0,0,0
"O15063","KIAA0355",0,0,0,0,0,0,0,0,0,0,0,0
"O15066","KIF3B",0,0,0,0,0,0,0,0,0,0,0,0
"O15067","PFAS",1790600,1845100,1230600,72927000,59552000,206900000,12147000,5500400,8097600,139490000,57054000,74962000
"O15075-2;O15075","DCLK1",0,0,0,0,0,0,0,0,0,0,0,0
"O15084;O15084-4;O15084-1;O15084-2","ANKRD28",0,0,0,15703000,8750300,44610000,0,0,0,27054000,11553000,0
"O15085;O15085-2","ARHGEF11",0,0,0,0,0,0,0,0,0,0,0,0
"O15091-2;O15091;O15091-4;O15091-3","KIAA0391",43092000,38607000,47014000,21288000,14219000,9632900,48035000,32445000,41793000,11093000,18850000,15528000
"O15111","CHUK",0,0,0,0,5097300,39855000,0,0,0,8647100,6413500,0
"O15116","LSM1",0,0,0,0,0,78739000,0,0,0,0,0,0
"O15118;O15118-2","NPC1",63367000,52852000,55410000,27094000,46399000,32276000,110180000,95910000,101920000,42887000,67141000,50503000
"O15120-2;O15120","AGPAT2",10836000,0,7426700,0,0,0,18301000,14892000,15015000,0,8485400,0
"O15121","DEGS1",36894000,43112000,43961000,32405000,48036000,29938000,39051000,34406000,39698000,12625000,38888000,24093000
"O15126;O15126-2","SCAMP1",47985000,52147000,65275000,60188000,71606000,8094500,34588000,47988000,51585000,43914000,64215000,43699000
"O15127","SCAMP2",57449000,71772000,81365000,76268000,105610000,44035000,74475000,89140000,102380000,88780000,153110000,83165000
"O15143","ARPC1B",23129000,31535000,34871000,27546000,20865000,42675000,25488000,38854000,31747000,39064000,23055000,24786000
"O15144","ARPC2",49312000,68482000,53483000,47811000,40511000,86748000,60941000,82587000,81556000,111460000,50052000,62102000
